dataset,task,task_type,completion_status,seeds_found,gate_outcomes,selected_residual_count,comparison_scope,gate_mode,primary_metric,secondary_metric,strict_gate,mean_primary_improvement,primary_improvements,secondary_improvements,gate_reason,mismatch_class,recommended_appendix_gate,recommended_action,strict_seed_audit_available,appendix_gate_provenance
rel-salt,item-shippoint,multiclass_classification,COMPLETE_EVALUATED_SELECT,,SELECT,8.0,dfs_vs_fdhg,single_metric,accuracy,,SELECT,0.06983450351053158,0.0822467402207|0.0606820461384|0.0817452357071|0.0546639919759,,all_seeds_strictly_pass,agreement,SELECT,No change.,True,strict_seed_audit
rel-salt,sales-group,multiclass_classification,COMPLETE_EVALUATED_SELECT,,SELECT,,dfs_vs_fdhg,single_metric,accuracy,,SELECT,0.003100775193798408,0.0031007751938|0.0031007751938|0.0031007751938|0.0031007751938,,all_seeds_strictly_pass,agreement,SELECT,No change.,True,strict_seed_audit
rel-salt,sales-incoterms,multiclass_classification,COMPLETE_EVALUATED_SELECT,,SELECT,,dfs_vs_fdhg,single_metric,accuracy,,SELECT,0.0050000000000000044,0.005|0.005|0.005|0.005,,all_seeds_strictly_pass,agreement,SELECT,No change.,True,strict_seed_audit
rel-salt,sales-office,multiclass_classification,COMPLETE_FALLBACK,,FALLBACK,,dfs_vs_fdhg,single_metric,accuracy,,FALLBACK,0.00037499999999998646,0.0005|0|0|0.001,,primary_metric_seed_inconsistency_fallback,stale_legacy_gate,FALLBACK,Update to FALLBACK because tied seeds do not satisfy strict improvement.,True,strict_seed_audit
rel-salt,sales-payterms,multiclass_classification,COMPLETE_FALLBACK,,FALLBACK,,dfs_vs_fdhg,single_metric,accuracy,,FALLBACK,0.0001250625312656517,0|0.000500250125063|0|0,,primary_metric_seed_inconsistency_fallback,stale_legacy_gate,FALLBACK,Update to FALLBACK because tied seeds do not satisfy strict improvement.,True,strict_seed_audit
rel-salt,sales-shipcond,multiclass_classification,COMPLETE_FALLBACK,,FALLBACK,,dfs_vs_fdhg,lexicographic,accuracy,mrr,FALLBACK,0.0008758758758757867,0.0015015015015|-0.001001001001|0.0015015015015|0.0015015015015,0.00315203547308|0.00131605447043|0.00339854085678|0.00338659942491,lexicographic_seed_inconsistency_fallback,stale_legacy_gate,FALLBACK,Update to FALLBACK because seed 42 regresses on primary accuracy.,True,strict_seed_audit
rel-stack,post-votes,regression,COMPLETE_FALLBACK,41,FALLBACK,0.0,,,,,,,,,,,,,False,legacy_inventory
rel-stack,user-badge,binary_classification,COMPLETE_EVALUATED_SELECT,41;42;43;44,SELECT,,dfs_vs_fdhg,single_metric,roc_auc,,SELECT,0.01495344966260867,0.0143950352002|0.0149866294081|0.0145322004059|0.0158999336362,,all_seeds_strictly_pass,stale_legacy_gate,SELECT,Update to SELECT under strict all-seed DFS-to-FDHG AUROC gating.,True,strict_seed_audit
rel-stack,user-engagement,binary_classification,COMPLETE_FALLBACK,41,FALLBACK,0.0,,,,,,,,,,,,,False,legacy_inventory
rel-trial,eligibilities-adult,binary_classification,COMPLETE_EVALUATED_SELECT,41;42;43;44,SELECT,9.0,,,,,,,,,,,,,False,legacy_inventory
rel-trial,eligibilities-child,binary_classification,COMPLETE_EVALUATED_SELECT,41;42;43;44,SELECT,9.0,,,,,,,,,,,,,False,legacy_inventory
rel-trial,site-success,regression,COMPLETE_FALLBACK,41;42;43;44,FALLBACK,44.0,,,,,,,,,,,,,False,legacy_inventory
rel-trial,studies-enrollment,regression,COMPLETE_EVALUATED_SELECT,41;42;43;44,SELECT,13.0,,,,,,,,,,,,,False,legacy_inventory
rel-trial,studies-has_dmc,binary_classification,COMPLETE_EVALUATED_SELECT,41;42;43;44,SELECT,9.0,,,,,,,,,,,,,False,legacy_inventory
rel-trial,study-adverse,regression,COMPLETE_FALLBACK,41,FALLBACK,0.0,,,,,,,,,,,,,False,legacy_inventory
rel-trial,study-outcome,binary_classification,COMPLETE_FALLBACK,41,FALLBACK,0.0,,,,,,,,,,,,,False,legacy_inventory
