lhs,rhs,confidence,lhs_unique_ratio,rhs_unique_ratio,score,is_id_like,is_meaningful,seed,variant
row_id,row_hash,1.0,1.0,1.0,1.0,True,False,45,without_uniqueness_penalty
row_id,user_hash,1.0,1.0,1.0,1.0,True,False,45,without_uniqueness_penalty
row_id,noise_1,1.0,1.0,1.0,1.0,True,False,45,without_uniqueness_penalty
row_id,noise_2,1.0,1.0,1.0,1.0,True,False,45,without_uniqueness_penalty
row_id,noise_3,1.0,1.0,1.0,1.0,True,False,45,without_uniqueness_penalty
user_id,group_pref,1.0,1.0,0.0033333333333333335,1.0,True,False,45,without_uniqueness_penalty
region,region_risk,1.0,0.0013333333333333333,0.0013333333333333333,0.9973351111111112,False,True,45,with_uniqueness_penalty
group,group_pref,1.0,0.0033333333333333335,0.0033333333333333335,0.9933444444444445,False,True,45,with_uniqueness_penalty
group,region_risk,0.1535,0.0033333333333333335,0.0013333333333333333,0.1524783722222222,False,False,45,with_uniqueness_penalty
region,group_pref,0.06633333333333333,0.0013333333333333333,0.0033333333333333335,0.06615656237037038,False,False,45,with_uniqueness_penalty
group,row_hash,0.0033333333333333335,0.0033333333333333335,1.0,0.0033111481481481486,False,False,45,with_uniqueness_penalty
group,user_hash,0.0033333333333333335,0.0033333333333333335,1.0,0.0033111481481481486,False,False,45,with_uniqueness_penalty
group,noise_2,0.0033333333333333335,0.0033333333333333335,1.0,0.0033111481481481486,False,False,45,with_uniqueness_penalty
group,noise_1,0.0033333333333333335,0.0033333333333333335,1.0,0.0033111481481481486,False,False,45,with_uniqueness_penalty
row_id,group_pref,1.0,1.0,0.0033333333333333335,1.0,True,False,46,without_uniqueness_penalty
row_id,region_risk,1.0,1.0,0.0013333333333333333,1.0,True,False,46,without_uniqueness_penalty
row_id,row_hash,1.0,1.0,1.0,1.0,True,False,46,without_uniqueness_penalty
row_id,user_hash,1.0,1.0,1.0,1.0,True,False,46,without_uniqueness_penalty
row_id,noise_1,1.0,1.0,1.0,1.0,True,False,46,without_uniqueness_penalty
row_id,noise_2,1.0,1.0,1.0,1.0,True,False,46,without_uniqueness_penalty
row_id,noise_3,1.0,1.0,1.0,1.0,True,False,46,without_uniqueness_penalty
user_id,group_pref,1.0,1.0,0.0033333333333333335,1.0,True,False,46,without_uniqueness_penalty
region,region_risk,1.0,0.0013333333333333333,0.0013333333333333333,0.9973351111111112,False,True,46,with_uniqueness_penalty
group,group_pref,1.0,0.0033333333333333335,0.0033333333333333335,0.9933444444444445,False,True,46,with_uniqueness_penalty
group,region_risk,0.1555,0.0033333333333333335,0.0013333333333333333,0.1544650611111111,False,False,46,with_uniqueness_penalty
region,group_pref,0.0665,0.0013333333333333333,0.0033333333333333335,0.0663227848888889,False,False,46,with_uniqueness_penalty
group,row_hash,0.0033333333333333335,0.0033333333333333335,1.0,0.0033111481481481486,False,False,46,with_uniqueness_penalty
group,user_hash,0.0033333333333333335,0.0033333333333333335,1.0,0.0033111481481481486,False,False,46,with_uniqueness_penalty
group,noise_2,0.0033333333333333335,0.0033333333333333335,1.0,0.0033111481481481486,False,False,46,with_uniqueness_penalty
group,noise_1,0.0033333333333333335,0.0033333333333333335,1.0,0.0033111481481481486,False,False,46,with_uniqueness_penalty
row_id,group_pref,1.0,1.0,0.0033333333333333335,1.0,True,False,47,without_uniqueness_penalty
row_id,region_risk,1.0,1.0,0.0013333333333333333,1.0,True,False,47,without_uniqueness_penalty
row_id,row_hash,1.0,1.0,1.0,1.0,True,False,47,without_uniqueness_penalty
row_id,user_hash,1.0,1.0,1.0,1.0,True,False,47,without_uniqueness_penalty
row_id,noise_1,1.0,1.0,1.0,1.0,True,False,47,without_uniqueness_penalty
row_id,noise_2,1.0,1.0,1.0,1.0,True,False,47,without_uniqueness_penalty
row_id,noise_3,1.0,1.0,1.0,1.0,True,False,47,without_uniqueness_penalty
user_id,group_pref,1.0,1.0,0.0033333333333333335,1.0,True,False,47,without_uniqueness_penalty
region,region_risk,1.0,0.0013333333333333333,0.0013333333333333333,0.9973351111111112,False,True,47,with_uniqueness_penalty
group,group_pref,1.0,0.0033333333333333335,0.0033333333333333335,0.9933444444444445,False,True,47,with_uniqueness_penalty
group,region_risk,0.15566666666666668,0.0033333333333333335,0.0013333333333333333,0.15463061851851853,False,False,47,with_uniqueness_penalty
region,group_pref,0.0645,0.0013333333333333333,0.0033333333333333335,0.06432811466666667,False,False,47,with_uniqueness_penalty
group,row_hash,0.0033333333333333335,0.0033333333333333335,1.0,0.0033111481481481486,False,False,47,with_uniqueness_penalty
group,user_hash,0.0033333333333333335,0.0033333333333333335,1.0,0.0033111481481481486,False,False,47,with_uniqueness_penalty
group,noise_2,0.0033333333333333335,0.0033333333333333335,1.0,0.0033111481481481486,False,False,47,with_uniqueness_penalty
group,noise_1,0.0033333333333333335,0.0033333333333333335,1.0,0.0033111481481481486,False,False,47,with_uniqueness_penalty
row_id,group_pref,1.0,1.0,0.0033333333333333335,1.0,True,False,48,without_uniqueness_penalty
row_id,region_risk,1.0,1.0,0.0013333333333333333,1.0,True,False,48,without_uniqueness_penalty
row_id,row_hash,1.0,1.0,1.0,1.0,True,False,48,without_uniqueness_penalty
row_id,user_hash,1.0,1.0,1.0,1.0,True,False,48,without_uniqueness_penalty
row_id,noise_1,1.0,1.0,1.0,1.0,True,False,48,without_uniqueness_penalty
row_id,noise_2,1.0,1.0,1.0,1.0,True,False,48,without_uniqueness_penalty
row_id,noise_3,1.0,1.0,1.0,1.0,True,False,48,without_uniqueness_penalty
user_id,group_pref,1.0,1.0,0.0033333333333333335,1.0,True,False,48,without_uniqueness_penalty
region,region_risk,1.0,0.0013333333333333333,0.0013333333333333333,0.9973351111111112,False,True,48,with_uniqueness_penalty
group,group_pref,1.0,0.0033333333333333335,0.0033333333333333335,0.9933444444444445,False,True,48,with_uniqueness_penalty
group,region_risk,0.16116666666666668,0.0033333333333333335,0.0013333333333333333,0.160094012962963,False,False,48,with_uniqueness_penalty
region,group_pref,0.06983333333333333,0.0013333333333333333,0.0033333333333333335,0.06964723525925925,False,False,48,with_uniqueness_penalty
group,row_hash,0.0033333333333333335,0.0033333333333333335,1.0,0.0033111481481481486,False,False,48,with_uniqueness_penalty
group,user_hash,0.0033333333333333335,0.0033333333333333335,1.0,0.0033111481481481486,False,False,48,with_uniqueness_penalty
group,noise_2,0.0033333333333333335,0.0033333333333333335,1.0,0.0033111481481481486,False,False,48,with_uniqueness_penalty
group,noise_1,0.0033333333333333335,0.0033333333333333335,1.0,0.0033111481481481486,False,False,48,with_uniqueness_penalty
